"publ_id";"cite_key"
152139;"conf/vldb/FranklinCL92"
152139;"conf/vldb/Ioannidis93"
152139;"conf/vldb/LarsonY85"
152139;"conf/vldb/RosenkrantzH80"
152139;"conf/vldb/RoussopoulosK86"
152139;"journals/computer/RoussopoulosK86"
152139;"journals/is/Christodoulakis83"
152139;"journals/is/TompaB88"
152139;"journals/sigmod/RoussopoulosD91"
152139;"journals/tkde/RoussopoulosES93"
152139;"journals/tods/Roussopoulos91"
152139;"journals/tse/DelisR93"
152139;"journals/tse/Roussopoulos82"
152145;"books/kl/Snodgrass95"
152145;"books/ph/Shasha92"
152145;"conf/sigmod/Shasha97"
152145;"conf/ssdbm/RamakrishnanDRBK98"
152145;"journals/is/JensenS96"
152152;"conf/dasfaa/WhangK91"
152152;"conf/edbt/HutfleszSW88"
152152;"conf/icde/BanerjeeK86"
152152;"conf/icde/BlankenIMA90"
152152;"conf/icde/FaloutsosR91"
152152;"conf/icde/Greene89"
152152;"conf/icde/HutfleszSW90"
152152;"conf/icde/LometS89"
152152;"conf/icde/OhsawaS90"
152152;"conf/icde/SixW88"
152152;"conf/sigmod/BeckmannKSS90"
152152;"conf/sigmod/Freeston87"
152152;"conf/sigmod/Guttman84"
152152;"conf/sigmod/HoelS92"
152152;"conf/sigmod/Orenstein86"
152152;"conf/sigmod/Robinson81"
152152;"conf/sigmod/RoussopoulosL85"
152152;"conf/sigmod/Tamminen82"
152152;"conf/ssd/PagelST93"
152152;"conf/vldb/HenrichSW89"
152152;"conf/vldb/SeegerK88"
152152;"conf/vldb/SeegerK90"
152152;"conf/vldb/SellisRF87"
152152;"journals/cacm/Bentley75"
152152;"journals/is/OoiSM91"
152152;"journals/sigmod/GuntherB90"
152152;"journals/tods/NievergeltHS84"
152154;"conf/dbpl/BalstersV91"
152154;"conf/dexa/GrefenA91"
152154;"conf/dexa/GrefenFA92"
152154;"conf/dpds/GrefenA90"
152154;"conf/ecoop/BalstersBZ93"
152154;"conf/icde/GrefenB94"
152154;"conf/vldb/Grefen93"
152154;"journals/tkde/ApersBFGKW92"
152154;"journals/tods/SheardS89"
152173;"conf/hpts/Group87"
152173;"conf/sigmod/BorrP88"
152173;"conf/sigmod/Group88"
152173;"conf/sigmod/SchneiderD89"
152173;"conf/sigmod/SelingerACLP79"
152173;"conf/vldb/DeWittG85"
152173;"conf/vldb/ZellerG90"
152194;"books/mk/Elmagarmid92"
152194;"books/mk/elmagarmid92/WachterR92"
152194;"books/mk/GrayR93"
152194;"books/mk/Stonebraker94"
152194;"conf/sigmod/LometS89"
152194;"conf/sosp/Svobodova81"
152194;"conf/vldb/Stonebraker87"
152212;"conf/icde/AryaCFRT94"
152212;"conf/oodbs/SchwarzCFLMMP86"
152212;"conf/sigmod/AgrawalIS93"
152212;"conf/sigmod/Orenstein89"
152212;"conf/spieSR/NiblackBEFGPYFT93"
152212;"conf/vldb/LehmanL89"
152212;"journals/cacm/SilberschatzSU91"
152212;"journals/computer/FuchsLP89"
152212;"journals/computer/NarasimhaluC91"
152215;"conf/pods/OrensteinM84"
152215;"conf/sigmod/Guttman84"
152215;"conf/sigmod/LometS92"
152215;"conf/ssd/Lomet91"
152215;"journals/tods/LehmanY81"
152215;"journals/tods/LometS90"
